id,title,release_date,popularity,vote_count,vote_average,runtime,budget,revenue,gender,original_name,cast_popularity,order
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,1,Megumi Ogata,2.837,0
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,1,Yuko Miyamura,1.282,1
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,1,Megumi Hayashibara,4.467,2
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,1,Maaya Sakamoto,4.867,3
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,1,Kotono Mitsuishi,3.954,4
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,1,Yuriko Yamaguchi,4.582,5
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,2,Tomokazu Seki,5.646,6
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,2,Tetsuya Iwanaga,1.959,7
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,1,Junko Iwao,2.308,8
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,1,Miki Nagasawa,0.904,9
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,2,Koki Uchiyama,8.314,10
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,2,Fumihiko Tachiki,4.709,11
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,2,Motomu Kiyokawa,2.744,12
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,2,Akira Ishida,3.603,13
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,2,Koichi Yamadera,4.343,15
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,2,Ryunosuke Kamiki,5.386,16
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,1,Mariya Ise,6.795,17
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,1,Miyuki Sawashiro,5.122,18
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,2,Takehito Koyasu,6.038,19
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,2,Akio Otsuka,3.755,20
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,2,Anri Katsu,3.175,21
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,2,Hiro Yuuki,1.098,22
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,8/3/21,286.466,256,8.7,155,0,78334943,1,Sayaka Ohara,6.11,23
724089,Gabriel's Inferno Part II,31/7/20,8.003,1297,8.7,105,0,0,1,Melanie Zanetti,6.557,1
724089,Gabriel's Inferno Part II,31/7/20,8.003,1297,8.7,105,0,0,2,Giulio Berruti,6.671,2
724089,Gabriel's Inferno Part II,31/7/20,8.003,1297,8.7,105,0,0,2,James Andrew Fraser,0.615,3
724089,Gabriel's Inferno Part II,31/7/20,8.003,1297,8.7,105,0,0,1,Margaux Brooke,1.473,4
724089,Gabriel's Inferno Part II,31/7/20,8.003,1297,8.7,105,0,0,1,Agnes Albright,1.407,5
724089,Gabriel's Inferno Part II,31/7/20,8.003,1297,8.7,105,0,0,1,Purva Bedi,1.176,6
724089,Gabriel's Inferno Part II,31/7/20,8.003,1297,8.7,105,0,0,1,Sahar Bibiyan,1.27,7
724089,Gabriel's Inferno Part II,31/7/20,8.003,1297,8.7,105,0,0,0,Cedric Cannon,1.476,8
724089,Gabriel's Inferno Part II,31/7/20,8.003,1297,8.7,105,0,0,2,Ned Van Zandt,1.842,9
724089,Gabriel's Inferno Part II,31/7/20,8.003,1297,8.7,105,0,0,2,Azaman Anwer,0.6,10
761053,Gabriel's Inferno Part III,19/11/20,28.476,857,8.7,105,0,0,1,Melanie Zanetti,6.557,0
761053,Gabriel's Inferno Part III,19/11/20,28.476,857,8.7,105,0,0,2,Giulio Berruti,6.671,1
761053,Gabriel's Inferno Part III,19/11/20,28.476,857,8.7,105,0,0,0,Rhett Wellington,0.6,2
761053,Gabriel's Inferno Part III,19/11/20,28.476,857,8.7,105,0,0,2,James Andrew Fraser,0.615,3
761053,Gabriel's Inferno Part III,19/11/20,28.476,857,8.7,105,0,0,1,Margaux Brooke,1.473,4
761053,Gabriel's Inferno Part III,19/11/20,28.476,857,8.7,105,0,0,1,Agnes Albright,1.407,5
761053,Gabriel's Inferno Part III,19/11/20,28.476,857,8.7,105,0,0,2,Pat Asanti,0.84,6
761053,Gabriel's Inferno Part III,19/11/20,28.476,857,8.7,105,0,0,0,Julia Barrett-Mitchell,1.294,7
696374,Gabriel's Inferno,29/5/20,12.653,2099,8.6,122,0,0,1,Melanie Zanetti,6.557,1
696374,Gabriel's Inferno,29/5/20,12.653,2099,8.6,122,0,0,2,Giulio Berruti,6.671,2
696374,Gabriel's Inferno,29/5/20,12.653,2099,8.6,122,0,0,2,Kurt McKinney,1.788,3
696374,Gabriel's Inferno,29/5/20,12.653,2099,8.6,122,0,0,1,Agnes Albright,1.407,4
696374,Gabriel's Inferno,29/5/20,12.653,2099,8.6,122,0,0,1,Margaux Brooke,1.473,5
696374,Gabriel's Inferno,29/5/20,12.653,2099,8.6,122,0,0,2,Ned Van Zandt,1.842,6
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,1,Kate Winslet,11.438,0
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,1,Mackenzie Foy,12.842,1
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,2,Iain Glen,2.481,2
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,0,Calam Lynch,0.6,3
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,1,Claire Forlani,11.458,4
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,1,Fern Deacon,1.313,5
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,2,David Sherwood,0.6,6
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,0,Bjorn Steinbach,0.6,7
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,2,Patrick Lyster,1.859,8
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,0,Max Raphael,0.6,9
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,2,Hakeem Kae-Kazim,1.96,10
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,0,Greg Parvess,0.6,11
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,2,Alex Anlos,0.98,12
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,1,Kira Wilkinson,0.98,13
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,0,Alex Jeaven,0.6,14
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,2,David Dukas,0.6,15
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,2,Luke Tyler,0.6,16
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,0,Annica Liljeblad,1.614,17
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,2,Darron Meyer,1.008,18
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,2,Grant Ross,0.6,19
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,2,Dylan Skews,0.6,20
526702,Black Beauty,27/11/20,15.59,209,8.6,108,0,0,0,Jacques Theron,0.6,21
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,2,Ryunosuke Kamiki,5.386,0
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,1,Mone Kamishiraishi,5.116,1
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,2,Ryo Narita,1.646,2
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,1,Aoi Yuki,7.699,3
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,2,Nobunaga Shimazaki,5.38,4
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,2,Kaito Ishikawa,5.511,5
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,1,Kanon Tani,1.63,6
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,2,Masaki Terasoma,3.134,7
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,1,Sayaka Ohara,6.11,8
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,2,Kazuhiko Inoue,3.404,9
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,2,Chafurin,2.256,10
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,1,Kana Hanazawa,7.352,11
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,2,Shinya Hamazoe,0.984,12
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,1,Masami Nagasawa,10.566,13
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,1,Etsuko Ichihara,2.387,14
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,1,Yuka Terasaki,3.38,15
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,2,Takashi Onozuka,1.572,16
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,1,Kanami Satou,1.347,17
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,2,Shinjirō Gōda,0.6,18
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,2,Yasuhiro Kikuchi,0.6,19
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,0,Tamari Hinata,0.6,20
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,1,Nozomi Yamane,0.6,21
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,2,Yuuki Shin,2.165,22
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,2,Tatsuya Murakami,0.6,23
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,1,Nodoka Hasegawa,0.6,24
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,0,Baron Yamazaki,0.6,25
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,0,Suguru Inoue,1.721,26
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,0,Ryoko Usami,0.6,27
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,1,Miho Morisaki,0.611,28
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,0,Tsuyoshi Minamijima,0.6,29
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,0,Aika Oomae,0.629,30
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,2,Tomohiro Yamaguchi,0.6,31
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,2,Takayuki Nakatsukasa,0.63,32
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,2,Hiroki Matsukawa,0.755,33
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,0,Shouko Negoro,0.6,34
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,1,Yuki Ominami,2.832,35
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,1,Manami Hanawa,1.787,36
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,0,Miho Tabata,0.6,37
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,0,Eriko Tomioka,0.6,38
372058,Your Name.,26/8/16,136.537,7794,8.6,106,0,357986087,0,Eiji Yamamoto,0.695,39
592350,My Hero Academia: Heroes Rising,20/12/19,307.651,783,8.5,104,0,29900850,2,Daiki Yamashita,3.913,0
592350,My Hero Academia: Heroes Rising,20/12/19,307.651,783,8.5,104,0,29900850,2,Nobuhiko Okamoto,8.604,1
592350,My Hero Academia: Heroes Rising,20/12/19,307.651,783,8.5,104,0,29900850,0,Yoshio Inoue,0.984,2
592350,My Hero Academia: Heroes Rising,20/12/19,307.651,783,8.5,104,0,29900850,1,Mio Imada,5.883,3
592350,My Hero Academia: Heroes Rising,20/12/19,307.651,783,8.5,104,0,29900850,1,Yuka Terasaki,3.38,4
592350,My Hero Academia: Heroes Rising,20/12/19,307.651,783,8.5,104,0,29900850,1,Tomoyo Kurosawa,4.212,5
592350,My Hero Academia: Heroes Rising,20/12/19,307.651,783,8.5,104,0,29900850,2,Yuki Kaji,5.922,6
592350,My Hero Academia: Heroes Rising,20/12/19,307.651,783,8.5,104,0,29900850,2,Kaito Ishikawa,5.511,7
592350,My Hero Academia: Heroes Rising,20/12/19,307.651,783,8.5,104,0,29900850,1,Ayane Sakura,6.881,8
592350,My Hero Academia: Heroes Rising,20/12/19,307.651,783,8.5,104,0,29900850,2,Toshiki Masuda,2.204,9
